"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"4415",0.71,0.71,0.74,0.77,0.79,0.85,0.88,0.93,0.96,0.97,0.95,0.85,0.75,0.68,0.63,0.55,0.5,0.49,0.89
"4416",0.44,0.42,0.42,0.41,0.37,0.3,0.22,0.2,0.17,0.19,0.22,0.22,0.25,0.29,0.32,0.38,0.48,0.56,0.26
"4417",0.36,0.4,0.47,0.49,0.48,0.46,0.43,0.36,0.3,0.2,0.17,0.12,0.08,0.07,0.05,0.06,0.05,0.06,0.22
"4418",0.71,0.69,0.69,0.68,0.67,0.59,0.57,0.54,0.5,0.47,0.43,0.42,0.36,0.3,0.28,0.27,0.25,0.25,0.47
"4419",0.44,0.42,0.39,0.35,0.34,0.31,0.33,0.3,0.26,0.25,0.22,0.24,0.28,0.29,0.32,0.35,0.42,0.48,0.28
"4420",0.79,0.77,0.74,0.72,0.66,0.63,0.59,0.57,0.56,0.56,0.57,0.6,0.63,0.65,0.7,0.73,0.81,0.81,0.82
"4421",0.45,0.45,0.42,0.42,0.39,0.33,0.31,0.22,0.17,0.13,0.13,0.12,0.09,0.06,0.05,0.04,0.05,0.05,0.09
"4422",0.06,0.06,0.07,0.06,0.06,0.05,0.06,0.07,0.07,0.11,0.13,0.16,0.22,0.28,0.31,0.36,0.39,0.41,0.06
"4423",0.21,0.17,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.21,0.21,0.21,0.18,0.17,0.15,0.16,0.16,0.17,0.14
"4424",0.05,0.05,0.03,0.02,0,0,0.01,0.05,0.06,0.09,0.13,0.23,0.31,0.41,0.48,0.6,0.62,0.65,0.08
"4425",0.28,0.19,0.12,0.06,0.04,0.02,0,0,0,0,0,0,0,0.01,0.03,0.08,0.13,0.2,0
"4426",0.03,0.02,0.01,0.02,0.03,0.03,0.04,0.05,0.09,0.15,0.18,0.18,0.22,0.27,0.31,0.35,0.37,0.41,0.05
"4427",0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0
"4428",0.73,0.75,0.73,0.73,0.77,0.77,0.76,0.78,0.75,0.73,0.74,0.77,0.77,0.77,0.72,0.67,0.69,0.67,0.85
"4429",1,1,0.98,0.91,0.87,0.83,0.77,0.77,0.76,0.73,0.74,0.8,0.87,0.92,0.94,0.98,1,1,0.95
"4430",0.52,0.46,0.45,0.45,0.46,0.49,0.56,0.57,0.7,0.8,0.9,0.93,0.92,0.86,0.77,0.7,0.6,0.5,0.77
"4431",0.3,0.23,0.22,0.23,0.2,0.23,0.25,0.29,0.31,0.3,0.33,0.37,0.42,0.5,0.49,0.5,0.48,0.45,0.3
"4432",0.17,0.11,0.07,0.05,0.05,0.04,0.02,0.02,0.03,0.04,0.06,0.09,0.17,0.26,0.32,0.39,0.49,0.62,0.06
"4433",1,1,0.98,0.98,0.99,0.98,0.96,0.94,0.86,0.74,0.68,0.57,0.45,0.34,0.31,0.29,0.24,0.21,0.7
"4434",0.23,0.23,0.24,0.25,0.3,0.37,0.48,0.55,0.56,0.56,0.54,0.52,0.48,0.51,0.51,0.57,0.6,0.67,0.5
"4435",0.62,0.64,0.66,0.73,0.79,0.94,0.99,1,1,0.97,0.82,0.7,0.6,0.43,0.34,0.28,0.22,0.21,0.78
"4436",1,0.97,0.93,0.93,0.87,0.83,0.72,0.65,0.57,0.53,0.48,0.34,0.26,0.21,0.21,0.19,0.2,0.19,0.64
"4437",0.2,0.2,0.15,0.14,0.12,0.11,0.12,0.13,0.13,0.18,0.28,0.32,0.41,0.47,0.6,0.71,0.78,0.84,0.19
"4438",0.22,0.23,0.23,0.23,0.19,0.21,0.21,0.22,0.3,0.38,0.49,0.58,0.65,0.78,0.76,0.72,0.71,0.66,0.37
"4439",0.62,0.64,0.59,0.52,0.48,0.43,0.39,0.36,0.27,0.21,0.2,0.17,0.17,0.22,0.3,0.37,0.46,0.5,0.32
"4440",0.94,0.9,0.87,0.82,0.8,0.72,0.71,0.68,0.66,0.67,0.7,0.74,0.81,0.85,0.85,0.87,0.83,0.74,0.92
"4441",0.85,0.76,0.69,0.55,0.46,0.38,0.26,0.19,0.12,0.1,0.09,0.1,0.1,0.12,0.13,0.19,0.21,0.28,0.15
"4442",0.68,0.62,0.5,0.47,0.42,0.43,0.39,0.41,0.43,0.46,0.44,0.43,0.41,0.38,0.39,0.4,0.42,0.43,0.5
"4443",0.48,0.39,0.3,0.25,0.2,0.15,0.12,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.12,0.15,0.14,0.13,0.12
"4444",0.18,0.13,0.08,0.05,0.02,0.03,0.01,0.01,0.03,0.03,0.03,0.04,0.08,0.13,0.14,0.14,0.16,0.2,0.02
"4445",0.61,0.58,0.49,0.44,0.39,0.38,0.36,0.36,0.36,0.37,0.37,0.41,0.49,0.59,0.69,0.75,0.78,0.8,0.53
"4446",0.73,0.7,0.69,0.72,0.75,0.75,0.8,0.88,0.9,0.98,0.99,0.97,0.95,0.87,0.78,0.66,0.62,0.57,0.94
"4447",0.18,0.16,0.13,0.11,0.09,0.1,0.2,0.28,0.42,0.72,0.91,0.97,0.92,0.75,0.58,0.43,0.32,0.26,0.33
"4448",0.42,0.39,0.33,0.28,0.28,0.26,0.22,0.21,0.22,0.19,0.19,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.22
"4449",0.71,0.65,0.59,0.54,0.41,0.37,0.3,0.29,0.28,0.27,0.26,0.26,0.31,0.37,0.46,0.5,0.56,0.58,0.43
"4450",0.86,0.86,0.88,0.91,0.94,0.99,0.99,0.96,0.92,0.88,0.84,0.78,0.7,0.65,0.67,0.64,0.59,0.58,0.94
"4451",0.19,0.18,0.17,0.15,0.1,0.09,0.08,0.07,0.05,0.02,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.02
"4452",0.74,0.72,0.61,0.53,0.4,0.28,0.13,0.05,0.03,0.01,0,0,0.01,0.03,0.07,0.12,0.22,0.3,0.06
