"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"10226",0.11,0.08,0.1,0.11,0.17,0.21,0.26,0.35,0.4,0.45,0.47,0.39,0.37,0.35,0.33,0.31,0.3,0.3,0.22
"10227",0.78,0.84,0.89,0.98,1,0.99,0.99,0.92,0.89,0.87,0.85,0.87,0.88,0.92,0.93,0.95,0.96,0.95,0.98
"10228",0.31,0.33,0.4,0.5,0.57,0.71,0.81,0.91,0.97,0.95,0.92,0.85,0.72,0.6,0.53,0.46,0.44,0.44,0.78
"10229",0.2,0.21,0.21,0.23,0.24,0.3,0.32,0.4,0.43,0.47,0.51,0.54,0.63,0.64,0.64,0.7,0.72,0.73,0.46
"10230",0.27,0.31,0.38,0.49,0.54,0.68,0.79,0.85,0.92,0.93,0.94,0.9,0.89,0.89,0.88,0.88,0.89,0.9,0.8
"10231",0.02,0.02,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.04,0.08,0.12,0.11,0.12,0
"10232",0.93,0.97,0.98,0.98,0.93,0.82,0.66,0.48,0.37,0.3,0.22,0.19,0.18,0.2,0.23,0.27,0.3,0.36,0.44
"10233",0.09,0.1,0.1,0.13,0.16,0.2,0.21,0.21,0.25,0.28,0.32,0.42,0.45,0.48,0.57,0.59,0.67,0.75,0.23
"10234",0.35,0.31,0.23,0.21,0.17,0.12,0.13,0.16,0.15,0.18,0.2,0.24,0.35,0.44,0.65,0.73,0.82,0.91,0.21
"10235",0.32,0.34,0.34,0.35,0.37,0.37,0.34,0.34,0.33,0.29,0.25,0.25,0.25,0.27,0.27,0.29,0.29,0.34,0.27
"10236",0.76,0.76,0.74,0.72,0.68,0.71,0.57,0.5,0.43,0.41,0.34,0.33,0.3,0.34,0.35,0.42,0.48,0.52,0.52
"10237",0.13,0.2,0.28,0.41,0.56,0.73,0.85,0.91,0.98,0.99,0.99,0.98,0.98,0.97,0.95,0.94,0.94,0.93,0.89
"10238",0.04,0.04,0.04,0.05,0.07,0.09,0.1,0.13,0.15,0.17,0.15,0.16,0.16,0.15,0.13,0.11,0.1,0.09,0.08
"10239",0.29,0.35,0.43,0.52,0.67,0.75,0.8,0.94,0.96,0.96,1,1,1,1,1,0.97,0.97,0.96,0.94
"10240",0.61,0.7,0.78,0.85,0.91,0.9,0.82,0.69,0.62,0.49,0.35,0.29,0.26,0.26,0.25,0.3,0.3,0.29,0.61
