"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"3032",0.72,0.74,0.73,0.76,0.8,0.85,0.86,0.85,0.83,0.82,0.8,0.68,0.62,0.57,0.51,0.46,0.49,0.5,0.81
"3033",0.81,0.77,0.7,0.65,0.65,0.66,0.68,0.75,0.86,0.91,0.95,0.96,0.89,0.75,0.64,0.56,0.56,0.47,0.86
"3034",0.13,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.04,0.08,0.12,0.24,0.35,0.45,0.55,0.62,0.06
"3035",0.04,0.04,0.03,0.05,0.08,0.08,0.15,0.19,0.33,0.41,0.61,0.77,0.92,0.98,1,0.99,0.92,0.88,0.31
"3036",0.27,0.25,0.26,0.26,0.3,0.36,0.44,0.57,0.64,0.83,0.92,0.94,0.95,0.93,0.9,0.86,0.75,0.7,0.68
"3037",0.85,0.79,0.75,0.74,0.76,0.71,0.69,0.71,0.67,0.62,0.54,0.42,0.3,0.2,0.13,0.09,0.07,0.04,0.43
"3038",0.43,0.36,0.28,0.22,0.15,0.13,0.1,0.11,0.11,0.11,0.12,0.22,0.33,0.41,0.56,0.69,0.78,0.82,0.16
"3039",0.84,0.86,0.87,0.89,0.88,0.88,0.91,0.94,0.97,0.99,0.99,0.98,0.84,0.7,0.56,0.45,0.35,0.25,0.92
"3040",0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.03,0.04,0
"3041",0.54,0.53,0.49,0.46,0.44,0.4,0.38,0.39,0.31,0.31,0.32,0.35,0.35,0.39,0.43,0.5,0.62,0.7,0.48
"3042",0.17,0.16,0.17,0.16,0.15,0.15,0.18,0.24,0.29,0.31,0.37,0.48,0.6,0.83,0.9,0.98,0.99,0.99,0.34
"3043",0.89,0.85,0.79,0.69,0.59,0.49,0.38,0.38,0.34,0.33,0.37,0.43,0.52,0.63,0.68,0.74,0.8,0.87,0.69
"3044",0.66,0.61,0.57,0.55,0.53,0.55,0.58,0.62,0.7,0.73,0.77,0.8,0.8,0.78,0.72,0.6,0.5,0.44,0.8
"3045",0.6,0.53,0.46,0.41,0.36,0.32,0.29,0.33,0.35,0.41,0.48,0.55,0.6,0.65,0.6,0.53,0.43,0.39,0.5
"3046",0.68,0.68,0.68,0.68,0.67,0.62,0.6,0.59,0.58,0.57,0.57,0.68,0.75,0.82,0.87,0.95,0.96,0.97,0.74
"3047",0.49,0.47,0.47,0.48,0.5,0.58,0.68,0.75,0.86,0.94,1,0.99,0.83,0.7,0.44,0.36,0.2,0.19,0.68
"3048",0.68,0.68,0.68,0.63,0.56,0.44,0.31,0.27,0.16,0.09,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.06,0.11
"3049",0.58,0.49,0.44,0.36,0.28,0.25,0.21,0.16,0.13,0.14,0.13,0.15,0.16,0.18,0.23,0.31,0.35,0.41,0.16
"3050",0.87,0.85,0.78,0.74,0.69,0.69,0.67,0.67,0.67,0.69,0.68,0.68,0.64,0.59,0.55,0.53,0.52,0.5,0.76
"3051",0.57,0.56,0.47,0.43,0.4,0.36,0.32,0.33,0.32,0.29,0.32,0.32,0.34,0.35,0.38,0.39,0.41,0.45,0.36
"3052",0.07,0.06,0.03,0.01,0,0,0,0,0,0,0,0,0.01,0.04,0.09,0.11,0.2,0.26,0
"3053",0.61,0.57,0.49,0.5,0.42,0.4,0.39,0.39,0.41,0.45,0.52,0.61,0.72,0.77,0.9,0.96,0.96,0.96,0.64
"3054",0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.05,0.13,0.17,0.2,0.26,0.32,0.38,0.46,0.5,0.04
"3055",0.12,0.12,0.16,0.19,0.23,0.3,0.47,0.56,0.68,0.7,0.65,0.62,0.52,0.4,0.33,0.26,0.23,0.24,0.36
"3056",0.08,0.08,0.07,0.06,0.08,0.12,0.18,0.25,0.36,0.56,0.67,0.84,0.96,0.97,0.92,0.78,0.64,0.51,0.29
