"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"15340",0.9,0.81,0.71,0.52,0.4,0.32,0.24,0.2,0.16,0.17,0.16,0.17,0.19,0.23,0.3,0.31,0.41,0.44,0.26
"15341",0.03,0.03,0.02,0.02,0.04,0.04,0.05,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.04,0.02,0.02,0.01,0.02
"15342",0.04,0.05,0.05,0.05,0.07,0.06,0.07,0.06,0.07,0.07,0.09,0.17,0.22,0.32,0.45,0.55,0.63,0.74,0.09
"15343",0.19,0.25,0.35,0.5,0.66,0.81,0.95,1,0.92,0.83,0.66,0.58,0.52,0.49,0.48,0.48,0.55,0.59,0.68
"15344",0.1,0.1,0.12,0.19,0.26,0.33,0.44,0.55,0.7,0.73,0.84,0.93,0.96,0.96,0.95,0.95,0.94,0.95,0.58
"15345",0.59,0.61,0.58,0.59,0.56,0.53,0.53,0.49,0.37,0.32,0.28,0.27,0.24,0.2,0.2,0.22,0.26,0.28,0.35
"15346",0.19,0.24,0.31,0.39,0.47,0.56,0.59,0.58,0.46,0.35,0.25,0.23,0.21,0.19,0.25,0.28,0.34,0.39,0.3
"15347",0.92,0.96,0.99,0.96,0.72,0.5,0.39,0.27,0.16,0.08,0.05,0.03,0.02,0.03,0.04,0.07,0.15,0.2,0.18
"15348",0.56,0.67,0.67,0.75,0.79,0.83,0.79,0.78,0.73,0.6,0.51,0.39,0.28,0.25,0.22,0.21,0.2,0.21,0.55
"15349",0.37,0.35,0.33,0.32,0.33,0.35,0.41,0.49,0.57,0.64,0.69,0.73,0.71,0.73,0.72,0.71,0.72,0.69,0.57
"15350",0.35,0.32,0.28,0.21,0.13,0.11,0.08,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.08,0.09,0.13,0.15,0.05
"15351",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"15352",0.83,0.8,0.77,0.73,0.71,0.67,0.65,0.59,0.58,0.51,0.51,0.48,0.44,0.42,0.38,0.37,0.36,0.35,0.62
"15353",0.07,0.07,0.07,0.1,0.09,0.1,0.1,0.12,0.14,0.16,0.17,0.21,0.26,0.31,0.35,0.4,0.42,0.47,0.12
"15354",0.62,0.6,0.58,0.55,0.56,0.54,0.53,0.52,0.46,0.43,0.4,0.36,0.36,0.33,0.32,0.31,0.28,0.27,0.45
"15355",0.62,0.62,0.62,0.6,0.62,0.61,0.6,0.63,0.63,0.65,0.63,0.6,0.55,0.5,0.51,0.47,0.4,0.4,0.65
"15356",0.98,0.99,0.95,0.93,0.83,0.76,0.7,0.52,0.41,0.36,0.33,0.32,0.35,0.36,0.39,0.45,0.51,0.55,0.6
"15357",0.14,0.21,0.29,0.35,0.44,0.52,0.55,0.58,0.62,0.6,0.58,0.62,0.63,0.7,0.76,0.81,0.84,0.87,0.61
"15358",0.89,0.91,0.91,0.95,0.97,0.95,0.94,0.92,0.86,0.71,0.63,0.56,0.49,0.49,0.47,0.47,0.48,0.5,0.85
"15359",0.05,0.05,0.06,0.06,0.08,0.16,0.24,0.4,0.58,0.68,0.76,0.87,0.94,0.99,0.99,0.94,0.95,0.94,0.39
"15360",0.04,0.04,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0
"15361",0.67,0.68,0.67,0.65,0.62,0.6,0.56,0.57,0.58,0.59,0.59,0.6,0.65,0.69,0.72,0.8,0.84,0.89,0.69
"15362",0.01,0.01,0.01,0.03,0.03,0.05,0.07,0.13,0.14,0.24,0.37,0.5,0.66,0.79,0.89,0.95,0.96,0.96,0.15
"15363",0.74,0.72,0.72,0.73,0.72,0.75,0.82,0.86,0.94,0.93,0.87,0.82,0.76,0.61,0.58,0.52,0.46,0.41,0.86
"15364",0.13,0.1,0.08,0.07,0.05,0.03,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0
"15365",0.5,0.45,0.42,0.39,0.41,0.39,0.37,0.37,0.33,0.33,0.34,0.32,0.29,0.28,0.26,0.22,0.25,0.26,0.31
"15366",0.66,0.63,0.62,0.55,0.48,0.39,0.37,0.35,0.33,0.33,0.39,0.4,0.48,0.56,0.61,0.74,0.77,0.82,0.58
"15367",0.9,0.87,0.86,0.82,0.78,0.72,0.65,0.58,0.5,0.44,0.37,0.31,0.31,0.28,0.28,0.26,0.3,0.36,0.56
"15368",0.14,0.09,0.06,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0
"15369",0.83,0.86,0.9,0.89,0.86,0.85,0.83,0.8,0.77,0.77,0.77,0.75,0.79,0.83,0.88,0.93,0.95,0.93,0.97
"15370",0.43,0.39,0.32,0.2,0.14,0.11,0.07,0.06,0.05,0.07,0.12,0.17,0.31,0.4,0.52,0.61,0.69,0.77,0.17
"15371",0.1,0.06,0.03,0.03,0.02,0,0,0,0,0.01,0.05,0.1,0.21,0.27,0.34,0.44,0.59,0.67,0.03
"15372",0.49,0.45,0.37,0.33,0.25,0.18,0.17,0.2,0.22,0.26,0.27,0.32,0.44,0.49,0.55,0.64,0.69,0.77,0.37
"15373",0.22,0.18,0.13,0.09,0.07,0.04,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01
"15374",0.33,0.32,0.31,0.29,0.3,0.27,0.28,0.27,0.27,0.25,0.26,0.25,0.26,0.3,0.3,0.34,0.33,0.35,0.27
"15375",0.06,0.04,0.04,0.02,0.03,0.03,0.03,0.04,0.05,0.07,0.11,0.14,0.14,0.13,0.16,0.18,0.16,0.13,0.02
"15376",0.15,0.14,0.13,0.13,0.13,0.12,0.11,0.08,0.06,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.07,0.02
"15377",0.02,0.03,0.03,0.03,0.02,0.05,0.06,0.08,0.12,0.14,0.15,0.18,0.18,0.18,0.13,0.14,0.14,0.17,0.07
"15378",0.25,0.21,0.21,0.22,0.25,0.29,0.37,0.42,0.5,0.52,0.52,0.53,0.52,0.51,0.53,0.55,0.56,0.58,0.46
"15379",0.25,0.18,0.16,0.11,0.07,0.07,0.08,0.09,0.07,0.09,0.09,0.12,0.19,0.28,0.32,0.38,0.43,0.52,0.1
"15380",0.98,0.98,0.98,0.92,0.91,0.84,0.7,0.59,0.5,0.42,0.33,0.32,0.33,0.34,0.38,0.42,0.47,0.59,0.65
"15381",0.22,0.25,0.25,0.3,0.38,0.43,0.61,0.8,0.96,1,0.98,0.92,0.9,0.79,0.76,0.73,0.72,0.72,0.69
"15382",0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0
"15383",0.65,0.58,0.5,0.47,0.44,0.41,0.4,0.37,0.38,0.39,0.42,0.41,0.41,0.42,0.46,0.48,0.49,0.49,0.5
"15384",0.46,0.43,0.35,0.34,0.3,0.24,0.25,0.29,0.31,0.35,0.41,0.49,0.56,0.63,0.71,0.81,0.84,0.87,0.48
"15385",0.76,0.78,0.8,0.78,0.75,0.67,0.58,0.53,0.53,0.53,0.54,0.56,0.58,0.61,0.64,0.65,0.73,0.74,0.8
