"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"8355",0.86,0.92,0.95,0.96,0.98,0.96,0.92,0.88,0.8,0.67,0.56,0.49,0.48,0.43,0.44,0.47,0.52,0.56,0.86
"8356",0.79,0.73,0.71,0.63,0.58,0.55,0.49,0.41,0.35,0.3,0.26,0.22,0.25,0.28,0.36,0.39,0.44,0.5,0.46
"8357",0.07,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.07,0.13,0.15,0.2,0.26,0.3,0.35,0.02
"8358",0.43,0.36,0.26,0.19,0.11,0.04,0.04,0.04,0.04,0.04,0.06,0.14,0.18,0.25,0.31,0.37,0.4,0.44,0.09
"8359",0.77,0.72,0.66,0.61,0.56,0.43,0.39,0.32,0.28,0.28,0.27,0.3,0.3,0.32,0.32,0.37,0.43,0.45,0.41
"8360",0.69,0.68,0.66,0.64,0.64,0.66,0.59,0.49,0.41,0.35,0.25,0.22,0.21,0.19,0.17,0.17,0.18,0.2,0.4
"8361",0.22,0.22,0.2,0.18,0.19,0.23,0.26,0.44,0.5,0.55,0.62,0.73,0.83,0.85,0.83,0.86,0.85,0.82,0.55
"8362",0.12,0.12,0.11,0.11,0.08,0.08,0.09,0.17,0.22,0.24,0.2,0.18,0.17,0.14,0.14,0.15,0.13,0.11,0.08
"8363",0.65,0.61,0.53,0.49,0.4,0.31,0.21,0.13,0.08,0.08,0.06,0.07,0.09,0.11,0.1,0.15,0.19,0.21,0.09
"8364",0.81,0.78,0.81,0.83,0.83,0.84,0.78,0.77,0.72,0.63,0.55,0.46,0.41,0.31,0.27,0.2,0.17,0.14,0.59
"8365",0.81,0.79,0.76,0.73,0.71,0.7,0.68,0.65,0.62,0.56,0.56,0.58,0.57,0.57,0.59,0.61,0.63,0.67,0.79
"8366",0.38,0.32,0.24,0.11,0.06,0.02,0.02,0.01,0,0.03,0.03,0.03,0.03,0.04,0.11,0.18,0.21,0.27,0.05
"8367",0,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0.04,0.04,0.09,0.11,0.15,0.19,0
"8368",0.84,0.73,0.69,0.64,0.65,0.66,0.69,0.8,0.87,0.98,1,0.98,0.88,0.69,0.53,0.32,0.15,0.11,0.84
"8369",0.47,0.47,0.41,0.37,0.38,0.38,0.36,0.35,0.4,0.45,0.54,0.59,0.71,0.81,0.9,0.94,0.99,1,0.62
"8370",0.91,0.89,0.84,0.75,0.57,0.41,0.23,0.16,0.1,0.07,0.05,0.03,0.02,0.04,0.04,0.08,0.13,0.14,0.11
"8371",0.71,0.7,0.7,0.72,0.71,0.73,0.79,0.85,0.88,0.85,0.81,0.78,0.76,0.72,0.73,0.73,0.74,0.75,0.85
"8372",0.68,0.73,0.77,0.83,0.86,0.92,0.92,0.93,0.87,0.84,0.73,0.61,0.52,0.44,0.37,0.35,0.3,0.27,0.73
"8373",0.16,0.17,0.19,0.23,0.25,0.31,0.4,0.52,0.64,0.7,0.68,0.63,0.57,0.46,0.42,0.39,0.34,0.3,0.44
"8374",0.02,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.03,0.06,0
