"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"2248",0.9,0.93,0.97,0.97,0.98,0.99,0.97,0.91,0.78,0.57,0.36,0.25,0.21,0.1,0.06,0.05,0.05,0.06,0.44
"2249",0.08,0.05,0.05,0.07,0.1,0.12,0.14,0.2,0.27,0.32,0.36,0.49,0.52,0.57,0.62,0.62,0.68,0.67,0.26
"2250",0.06,0.06,0.06,0.09,0.12,0.17,0.23,0.29,0.29,0.25,0.22,0.19,0.12,0.11,0.06,0.05,0.07,0.08,0.08
"2251",0.85,0.84,0.81,0.77,0.72,0.65,0.58,0.52,0.48,0.47,0.53,0.61,0.63,0.66,0.71,0.74,0.73,0.74,0.78
"2252",0.35,0.43,0.47,0.67,0.77,0.9,0.93,0.82,0.67,0.43,0.33,0.21,0.15,0.14,0.14,0.1,0.1,0.14,0.39
"2253",0.73,0.7,0.69,0.67,0.66,0.68,0.62,0.57,0.49,0.36,0.26,0.18,0.1,0.08,0.04,0.02,0.01,0.01,0.22
"2254",0.26,0.23,0.21,0.2,0.19,0.16,0.18,0.18,0.18,0.21,0.26,0.26,0.28,0.27,0.29,0.35,0.36,0.38,0.18
"2255",0.02,0.01,0.02,0.02,0.02,0.03,0.05,0.05,0.05,0.06,0.05,0.07,0.1,0.09,0.1,0.1,0.13,0.14,0.03
"2256",0.3,0.29,0.29,0.31,0.29,0.32,0.27,0.25,0.21,0.18,0.18,0.16,0.15,0.15,0.16,0.2,0.29,0.34,0.2
"2257",0.92,0.93,0.96,0.95,0.95,0.97,0.98,0.97,0.98,0.97,0.97,0.99,0.98,0.95,0.95,0.88,0.79,0.73,1
"2258",0.37,0.32,0.21,0.2,0.16,0.12,0.09,0.1,0.16,0.18,0.21,0.28,0.41,0.5,0.66,0.84,0.93,0.93,0.26
"2259",0.15,0.15,0.18,0.22,0.26,0.34,0.41,0.55,0.65,0.7,0.77,0.77,0.75,0.72,0.73,0.75,0.75,0.76,0.48
"2260",0.18,0.21,0.29,0.41,0.49,0.64,0.71,0.82,0.82,0.81,0.78,0.77,0.72,0.69,0.62,0.6,0.61,0.62,0.67
"2261",0.58,0.6,0.62,0.64,0.6,0.63,0.62,0.56,0.47,0.47,0.39,0.32,0.25,0.19,0.18,0.2,0.18,0.23,0.45
"2262",0.56,0.55,0.54,0.44,0.41,0.36,0.34,0.31,0.26,0.25,0.21,0.2,0.23,0.27,0.32,0.41,0.5,0.56,0.36
"2263",0.09,0.08,0.09,0.08,0.08,0.07,0.06,0.06,0.07,0.09,0.09,0.11,0.19,0.23,0.32,0.38,0.46,0.55,0.08
"2264",0.48,0.48,0.43,0.39,0.36,0.32,0.36,0.36,0.39,0.44,0.49,0.52,0.58,0.64,0.66,0.69,0.73,0.73,0.5
"2265",0.59,0.59,0.61,0.63,0.62,0.58,0.5,0.44,0.43,0.45,0.51,0.62,0.7,0.76,0.81,0.89,0.93,0.94,0.71
"2266",0.9,0.85,0.76,0.62,0.43,0.28,0.17,0.13,0.07,0.04,0.04,0.04,0.04,0.05,0.07,0.17,0.2,0.24,0.13
"2267",0.74,0.67,0.63,0.65,0.64,0.64,0.62,0.63,0.6,0.59,0.61,0.63,0.72,0.76,0.85,0.9,0.94,0.96,0.79
"2268",0.77,0.7,0.6,0.52,0.44,0.33,0.24,0.16,0.16,0.13,0.11,0.09,0.1,0.16,0.24,0.34,0.41,0.52,0.2
"2269",0.96,0.98,0.98,0.99,0.99,1,1,0.97,0.95,0.94,0.9,0.88,0.88,0.86,0.85,0.81,0.81,0.83,1
"2270",0.09,0.07,0.06,0.02,0.02,0.03,0.02,0.04,0.06,0.06,0.09,0.15,0.27,0.34,0.46,0.54,0.61,0.62,0.06
"2271",0.33,0.32,0.38,0.39,0.46,0.55,0.61,0.71,0.78,0.88,0.96,0.94,0.88,0.82,0.67,0.54,0.49,0.42,0.77
"2272",0.17,0.17,0.13,0.09,0.06,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0
"2273",0.05,0.06,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.02,0.04,0.04,0.06,0.07,0.09,0.12,0.17,0.2,0.03
"2274",0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.05,0.06,0.09,0.09,0.11,0
"2275",0.89,0.9,0.94,0.94,0.94,0.93,0.89,0.84,0.81,0.81,0.8,0.76,0.78,0.84,0.86,0.9,0.93,0.93,0.99
"2276",0.85,0.82,0.81,0.78,0.71,0.64,0.58,0.52,0.39,0.37,0.39,0.34,0.32,0.31,0.24,0.24,0.24,0.21,0.44
"2277",0.04,0.06,0.09,0.17,0.26,0.36,0.48,0.53,0.65,0.78,0.8,0.81,0.82,0.78,0.76,0.78,0.79,0.82,0.52
"2278",0.37,0.35,0.31,0.28,0.26,0.28,0.26,0.27,0.28,0.32,0.28,0.3,0.31,0.3,0.33,0.4,0.42,0.44,0.29
"2279",0.78,0.73,0.68,0.63,0.57,0.48,0.47,0.5,0.54,0.57,0.58,0.6,0.61,0.61,0.6,0.62,0.63,0.62,0.69
"2280",0.25,0.18,0.16,0.1,0.09,0.04,0.03,0.03,0.02,0.04,0.03,0.07,0.1,0.19,0.23,0.31,0.37,0.43,0.05
"2281",0.84,0.88,0.9,0.93,0.97,0.99,0.98,0.98,0.91,0.86,0.79,0.74,0.65,0.65,0.62,0.62,0.59,0.53,0.93
"2282",0.33,0.33,0.46,0.54,0.62,0.68,0.76,0.86,0.91,0.93,0.94,0.91,0.92,0.91,0.89,0.89,0.9,0.92,0.89
"2283",0.41,0.44,0.49,0.55,0.66,0.73,0.81,0.84,0.8,0.75,0.73,0.71,0.75,0.73,0.69,0.69,0.7,0.72,0.79
"2284",0.75,0.63,0.5,0.42,0.3,0.22,0.15,0.09,0.07,0.05,0.05,0.05,0.06,0.06,0.07,0.1,0.12,0.17,0.09
"2285",0.66,0.7,0.74,0.8,0.84,0.87,0.87,0.87,0.84,0.78,0.75,0.68,0.59,0.62,0.63,0.65,0.64,0.69,0.87
"2286",0.68,0.7,0.71,0.68,0.66,0.58,0.48,0.41,0.4,0.38,0.39,0.39,0.4,0.39,0.4,0.37,0.36,0.36,0.51
"2287",0.66,0.66,0.62,0.62,0.59,0.58,0.58,0.57,0.51,0.48,0.46,0.47,0.44,0.49,0.51,0.56,0.65,0.69,0.66
"2288",0.36,0.39,0.42,0.42,0.45,0.54,0.6,0.69,0.74,0.86,0.85,0.89,0.81,0.76,0.69,0.68,0.62,0.59,0.75
"2289",0.8,0.73,0.61,0.5,0.4,0.37,0.32,0.33,0.36,0.36,0.38,0.41,0.51,0.59,0.64,0.73,0.8,0.84,0.55
"2290",0.51,0.43,0.33,0.23,0.16,0.13,0.09,0.07,0.07,0.08,0.1,0.2,0.31,0.45,0.58,0.72,0.84,0.93,0.2
"2291",0.89,0.89,0.89,0.89,0.88,0.88,0.8,0.78,0.7,0.65,0.57,0.52,0.51,0.46,0.42,0.39,0.39,0.39,0.75
"2292",0.32,0.25,0.23,0.19,0.21,0.19,0.23,0.23,0.28,0.32,0.37,0.42,0.44,0.42,0.41,0.41,0.39,0.39,0.28
"2293",0.51,0.43,0.38,0.29,0.22,0.19,0.17,0.15,0.16,0.16,0.21,0.25,0.29,0.36,0.47,0.54,0.58,0.57,0.28
"2294",0.62,0.5,0.4,0.32,0.29,0.27,0.27,0.27,0.28,0.31,0.36,0.39,0.41,0.44,0.48,0.47,0.48,0.54,0.47
"2295",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.06,0.06,0.11,0.13,0.14,0.17,0.17,0.18,0.01
"2296",0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.06,0.12,0.29,0.57,0.78,0.92,0.98,1,0.95,0.92,0.86,0.09
"2297",0.39,0.31,0.21,0.19,0.12,0.08,0.06,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04
"2298",0.59,0.53,0.54,0.51,0.49,0.47,0.41,0.44,0.46,0.45,0.4,0.41,0.44,0.44,0.43,0.48,0.51,0.5,0.49
"2299",0.46,0.45,0.49,0.5,0.57,0.6,0.68,0.72,0.82,0.89,0.93,0.98,0.97,0.97,0.98,0.97,0.93,0.93,0.87
"2300",0.95,0.98,1,0.99,1,0.99,1,0.99,0.97,0.92,0.86,0.82,0.77,0.74,0.73,0.72,0.77,0.77,0.98
"2301",0.92,0.93,0.92,0.89,0.87,0.84,0.76,0.62,0.51,0.42,0.3,0.21,0.15,0.16,0.15,0.16,0.15,0.2,0.47
"2302",0.01,0,0,0,0,0,0.01,0.01,0.03,0.02,0.03,0.02,0.04,0.07,0.07,0.11,0.14,0.16,0
"2303",0.36,0.32,0.3,0.28,0.28,0.25,0.2,0.17,0.16,0.15,0.14,0.13,0.15,0.15,0.19,0.19,0.25,0.34,0.19
"2304",0.73,0.79,0.84,0.91,0.95,0.95,0.97,0.99,1,0.98,0.94,0.93,0.91,0.85,0.8,0.74,0.65,0.62,0.97
"2305",0.38,0.37,0.35,0.33,0.27,0.23,0.19,0.17,0.15,0.12,0.1,0.07,0.05,0.06,0.05,0.05,0.05,0.06,0.05
"2306",0.14,0.14,0.16,0.19,0.28,0.36,0.48,0.56,0.64,0.7,0.72,0.74,0.76,0.75,0.79,0.88,0.89,0.91,0.55
"2307",0.55,0.51,0.49,0.48,0.42,0.35,0.31,0.34,0.36,0.39,0.47,0.55,0.69,0.74,0.77,0.78,0.76,0.73,0.55
"2308",0.4,0.36,0.32,0.23,0.14,0.11,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.1,0.14,0.02
"2309",0.31,0.25,0.21,0.17,0.14,0.11,0.11,0.12,0.11,0.08,0.05,0.1,0.12,0.12,0.15,0.16,0.18,0.2,0.07
"2310",0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.95,0.88,0.83,0.83,0.84,0.85,0.82,0.75,0.73,1
"2311",0.17,0.13,0.09,0.07,0.05,0.04,0.04,0.06,0.06,0.1,0.17,0.28,0.43,0.61,0.78,0.89,0.92,0.91,0.1
"2312",0.37,0.43,0.45,0.52,0.57,0.72,0.84,0.97,0.96,0.87,0.78,0.59,0.42,0.33,0.23,0.12,0.09,0.08,0.52
"2313",0.48,0.52,0.56,0.62,0.72,0.73,0.71,0.59,0.45,0.28,0.23,0.11,0.07,0.03,0.03,0.02,0.02,0.02,0.24
"2314",0.87,0.84,0.82,0.8,0.79,0.78,0.7,0.69,0.68,0.63,0.6,0.59,0.63,0.67,0.73,0.71,0.71,0.71,0.81
"2315",0.54,0.54,0.61,0.67,0.72,0.78,0.84,0.87,0.87,0.82,0.73,0.64,0.6,0.57,0.62,0.62,0.68,0.71,0.81
"2316",0.41,0.39,0.39,0.36,0.37,0.36,0.33,0.36,0.36,0.35,0.35,0.39,0.44,0.52,0.57,0.67,0.71,0.72,0.46
