"","Gene","Bd.10.1","Bd.10.2","Bd.10.3","Bd.14.1","Bd.14.2","Bd.14.3","Bd.18.1","Bd.18.2","Bd.18.3","Bd.22.1","Bd.22.2","Bd.22.3","Bd.2.1","Bd.2.2","Bd.2.3","Bd.6.1","Bd.6.2","Bd.6.3"
"14865","Bradi5g11290.v3.1",24.08734208,23.78626372,27.98431136,25.13689393,28.52272774,20.26446665,26.72424951,38.22835733,28.33185859,24.57387529,30.1248094,28.63081987,24.3044268,23.07308432,22.9165605,30.87223016,27.02705249,25.50215455
"14866","Bradi5g11300.v3.1",24.77555185,26.23236885,21.59195597,32.75413452,26.79131615,30.21380768,30.54730187,32.87237031,28.25650791,28.00156176,34.87526012,25.20816019,31.93585091,26.73547866,20.20275728,30.02641563,28.83851713,19.6404653
"14868","Bradi5g11340.v3.1",230.4929234,240.7304846,156.6363824,200.1949321,256.7956766,145.5822695,236.5467251,209.151293,210.9819257,185.6224056,229.4699424,128.8658534,213.6798752,251.9727304,166.8988979,224.7329193,212.9557835,149.4350131
"14870","Bradi5g11360.v3.1",171.6509877,169.0342996,134.05006,123.1915546,160.9301508,102.3831086,166.0986341,159.2067141,134.4256269,151.0291391,187.7586678,107.6779601,116.2133172,148.4002185,98.14921636,198.0051803,207.8836825,129.4139186
"14871","Bradi5g11370.v3.1",30.28123004,35.42635022,20.7869927,39.47115576,33.26132787,25.7512356,41.79375687,34.94781528,38.35350007,39.18109301,38.87259059,16.89598668,22.64542156,35.3787293,17.18742038,36.62376893,37.02633732,33.79987051
"14872","Bradi5g11590.v3.1",19.38457529,16.53229677,30.39920117,15.23448117,25.15103149,26.95832477,21.86192078,16.8713591,34.05851086,23.09733343,17.84315634,30.36931367,11.11533512,13.03812384,39.80244719,24.95152848,19.41890098,38.82417559
"14874","Bradi5g11620.v3.1",5.735081447,5.566997892,10.74862721,8.863698136,6.834519426,6.876750416,4.565392624,5.222087341,3.240079573,7.540910229,6.604285138,7.660238332,5.142916251,6.592309807,5.879906971,5.751538769,7.753068675,7.384205945
"14875","Bradi5g11630.v3.1",4.129258642,4.892210269,13.2108678,0.692476417,0.729015405,1.646030685,0.074234026,0.133899675,0.979558941,1.054672759,0.579323258,1.358198286,0.995403145,3.36940279,5.879906971,6.005283127,8.260278776,12.56076269
"14876","Bradi5g11640.v3.1",14.05094955,16.02620605,17.47243806,15.71921466,27.70258541,18.61843597,19.78336804,19.28155326,24.41362283,20.09151606,14.65687842,19.93835084,15.59464928,14.64957735,25.32883003,12.01056625,13.11500402,23.82738619
"14877","Bradi5g11660.v3.1",4.989520859,5.145255627,3.172502303,5.33206841,6.105504021,5.267298191,6.792413416,5.222087341,2.787975447,8.701050264,6.893946767,6.302040046,7.631424114,7.178292901,3.543020867,2.622025027,6.231438375,7.688709283
"14878","Bradi5g11670.v3.1",20.87569647,12.90531329,18.60885679,22.50548355,13.39565808,19.42316208,14.58698619,14.52811478,12.50821417,13.49981132,15.00447238,16.29837943,15.59464928,17.35974916,12.9659487,11.50307754,15.86843028,17.58506777
"14880","Bradi5g11690.v3.1",5.39097656,4.386119551,6.960564755,3.600877368,7.563534832,4.682042837,3.971520413,4.351739451,9.870940096,4.693293779,2.027631402,11.24588181,3.898662319,3.14965913,13.56901609,4.736561339,7.028482818,6.6229476
"14881","Bradi5g11710.v3.1",22.65357172,21.6775524,23.7227411,31.99241046,34.08147021,24.87335257,34.22188617,38.22835733,29.98957373,36.91354658,33.25315499,23.19802672,38.32302109,29.59214624,24.95191291,34.67839552,40.57680802,26.87241957
"14882","Bradi5g11740.v3.1",5.39097656,9.27832982,6.487056948,9.556174553,5.28536169,10.82722406,5.122147822,10.84587371,6.254107083,12.23420401,7.067743744,9.290076275,9.622230405,6.0795746,5.427606435,4.651979887,2.101298987,4.872053407
"14883","Bradi5g11750.v3.1",617.4388686,655.6405244,432.5020304,377.8843807,433.1262778,279.0936472,110.9056355,99.88915785,121.6913607,99.40290756,103.8147278,58.51118216,86.01942181,95.66174009,85.63556819,594.0155408,594.5951547,494.89405
