"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5316","Bradi2g09470.v3.1",41.36003475,48.68044767,45.92828914,32.29071832,46.42614987,46.91690965,55.15975261,45.9271088,40.65351222,52.72590309,61.29868203,44.06039538,46.62373186,40.0379832,43.08886942,52.48465459,42.89969936,41.20542036
"5317","Bradi2g09480.v3.1",7.68796035,11.67868222,7.094613769,6.642662054,10.5476226,10.16868643,7.879964659,10.56729937,6.425124057,10.54518062,11.89377412,12.16482297,12.15042709,13.51386854,11.4112472,6.960330537,7.626613219,4.504236234
"5318","Bradi2g09487.v3.1",2.443460266,3.700176545,2.707155254,5.289527191,4.650920201,4.027202545,3.0554965,5.690084276,7.359687557,5.63801736,5.90530044,2.521975493,3.955953006,5.371972589,4.016759014,1.881170415,4.258192381,3.16964772
"5319","Bradi2g09510.v3.1",43.14793251,41.04883354,47.51524222,37.58024551,39.8650303,40.37270551,42.29450419,51.31236713,64.36806101,41.13664518,46.41067106,59.19224834,54.46499586,40.87735392,45.37111886,37.24717422,39.84905407,56.30295293
"5321","Bradi2g09530.v3.1",42.31358022,55.27138714,43.1277837,38.9948865,35.0480058,48.52779067,47.44060356,44.50458773,44.85904796,40.61460654,40.33902413,41.09336539,44.0099772,59.00776141,38.34179059,42.51445139,41.81926249,48.37883363
"5322","Bradi2g09540.v3.1",18.23655711,9.019180328,10.64192065,12.54725055,16.85958573,16.10881018,18.332979,13.20912421,6.77558537,17.331683,13.47406579,6.379114482,9.39538839,17.7946592,11.95898706,15.61371445,12.58391181,18.1837685
"5323","Bradi2g09550.v3.1",5.840466002,2.890762926,4.76085924,7.626760136,8.720475377,5.537403499,4.583244751,3.861128616,11.33158243,5.324794173,5.738953948,6.379114482,6.852275743,6.463154521,3.925469036,2.821755623,3.177755508,3.670118413
"5324","Bradi2g09570.v3.1",30.7518414,33.18595839,27.91170417,24.41793366,33.55306717,35.33870233,29.42925577,23.77642358,34.3452086,24.01377764,31.93852632,27.44502742,28.89258535,30.72096824,29.57795274,28.40567327,22.24428856,23.27188721
"5325","Bradi2g09580.v3.1",37.96302902,37.81117907,40.70067899,47.05218955,30.23098131,35.4393824,40.92757155,36.9855478,27.45280279,51.78623353,34.68324343,24.32964593,36.73384935,37.51987105,36.2421211,41.85604174,49.25521038,43.62436205
"5326","Bradi2g09600.v3.1",3.814181879,1.387566204,3.17390616,6.765674314,3.155981565,3.423122163,2.090602869,1.016086478,2.336408748,3.132231867,3.825969299,2.818678492,1.836692467,1.678741434,3.286439193,1.316819291,2.160873745,2.502353463
