	Bd21.10	Bd21.14	Bd21.18	Bd21.22	Bd21.2	Bd21.6	col.10	col.14	col.18	col.22	col.2	col.6	sta.10	sta.14	sta.18	sta.22	sta.2	sta.6	Bh.10	Bh.14	Bh.18	Bh.22	Bh.2	Bh.6
Bradi2g40480.v3.1	-0.6670571	-1.479260556	-1.060964601	-0.951744569	0.038479527	-0.522671195	-1.588677155	-1.2490338	-1.280363424	-0.627645922	-0.213009343	0.394489678	0.943794963	1.357770007	1.16520901	1.126696987	2.045747134	0.728606896	0.620325011	0.208603652	-0.814323304	0.471847589	0.209994991	1.143185528
Bradi2g40490.v3.1	-0.431226966	-0.20138176	-0.830121963	-0.181036618	0.092580063	-0.966791574	-0.909909545	-1.24479628	-0.836286597	-0.672887933	-0.500057827	-0.434182866	0.563303023	0.949262087	0.912116025	1.440879517	3.622368603	0.167550596	-0.095355255	-0.231762134	-0.093455459	0.074597801	0.523072578	-0.716477516
Bradi2g40500.v3.1	-0.798870188	-0.347680533	-0.049444448	-0.451258964	-0.340779524	-0.756973351	-1.274615043	-1.205535834	-1.270759352	-1.334703158	-0.493276517	-1.037378024	0.578865287	0.690467842	1.065712947	1.282122454	2.916330585	0.11718503	0.079925784	0.339994757	0.71434752	0.537609321	1.219755229	-0.181041819
Bradi2g40507.v3.1	-1.178419401	-0.588547666	-0.548556786	0.290047848	-0.23448229	-1.115157595	-1.080449186	-1.607453378	-0.304574812	0.072300602	-0.554746154	-1.042918484	0.142305328	-0.604435382	-0.011140658	1.53977821	-0.630244376	0.23387567	1.207291091	0.403210791	1.696275808	2.113007832	0.023918013	1.779114976
Bradi2g40556.v3.1	1.206255776	0.572293282	0.51046693	0.420006699	1.202068343	-0.291456443	1.077547607	0.564278033	1.00901497	1.73909999	1.485956573	1.533513606	-0.852939822	-0.966981086	-0.96099533	-0.955515016	-0.960950396	-0.904291411	-0.990511074	-0.852330389	-0.843538566	-0.916995608	-0.862234519	-0.961762149
Bradi2g40558.v3.1	1.559081716	1.254931562	0.600682269	1.160963313	1.689000344	0.150329332	0.945895184	1.024614856	0.703452827	0.683141782	0.454374217	1.147352269	-1.012557451	-0.99736946	-0.776606222	-1.070341253	-1.044243079	-1.073745524	-0.916946872	-1.066073492	-0.666835358	-0.784979842	-0.948238469	-1.015882651
Bradi2g40570.v3.1	-1.134176308	1.022494626	0.701719027	0.514133793	0.678601812	0.111369595	0.1352782	-0.326907657	0.396511426	2.067962043	-0.434636899	0.736779788	-0.480958528	1.292374992	0.084220844	1.173495492	-0.175027163	0.769130755	-0.814520332	-2.008691993	-2.224809321	-0.476720051	-0.994078318	-0.613545822
Bradi2g40627.v3.1	1.354452339	1.216221973	0.942251335	2.045727317	0.503986584	0.536750466	0.461886677	-0.81063026	-0.3942841	0.278863969	-0.680760679	-0.173033195	-1.316879548	-1.413016778	-1.413016778	-1.357807274	-1.254179225	-1.144569893	0.230229918	0.937111013	0.064212225	0.864615365	1.035908498	-0.514039949
Bradi2g40677.v3.1	-0.588645581	-0.821396618	-0.081949508	-0.413046148	-0.174562588	-0.965250763	-1.417057162	-1.083835476	-1.420724193	-0.322784924	-1.084442118	-1.382717523	0.588900218	1.175512933	2.000159268	0.86927419	1.872654825	1.163055968	-0.266990097	0.096766366	0.746518754	0.894570786	0.794625822	-0.17863643
Bradi2g40703.v3.1	-0.106830415	-0.270870702	-0.755304046	-0.239494431	-0.596291552	-1.49755967	-1.052441148	-1.432092018	-0.440604756	-0.54508939	-1.718310649	-1.219593982	0.629328171	0.842509141	1.059424492	2.388561504	0.860903542	1.105989124	0.272864233	0.162854088	1.172558486	0.025307774	0.284607749	1.069574454
