Gene,BhBd.10.1,BhBd.10.2,BhBd.10.3,BhBd.14.1,BhBd.14.2,BhBd.14.3,BhBd.18.1,BhBd.18.2,BhBd.18.3,BhBd.22.1,BhBd.22.2,BhBd.22.3,BhBd.2.1,BhBd.2.2,BhBd.2.3,BhBd.6.1,BhBd.6.2,BhBd.6.3
Bradi4g16406.v3.1,9.415157486,9.141097873,10.99591868,3.149769606,12.13982055,7.113214515,12.18965456,4.005262113,1.831930876,12.78520546,11.51272049,8.750355848,6.110784354,10.50995966,12.15310699,9.289203178,7.76633357,4.588417327
Bradi4g16430.v3.1,13.76966782,10.74079,13.92816366,15.14312311,13.78033684,17.3878577,23.58777311,19.42552125,8.243688941,18.35295622,17.92695047,9.771230697,8.05512483,18.06399317,14.47649509,15.42007728,10.39686591,24.58080711
Bradi4g16450.v3.1,5.178336617,2.285274468,6.597551209,2.907479637,2.952929322,3.556607257,6.648902488,4.405788325,3.663861752,7.011241701,6.24976255,4.22933866,6.388547279,2.299053677,5.71910917,4.830385652,4.760010898,2.458080711
Bradi4g16460.v3.1,21.65486222,22.39568979,20.52571487,23.25983709,18.70188571,21.73482213,25.96238114,28.83788722,21.06720507,15.25976135,16.11780868,12.25049819,20.83221939,31.52987899,17.15732751,14.86272508,11.52423691,14.42074017
Bradi4g16467.v3.1,16.24114666,15.99692128,14.66122491,19.62548755,12.79602706,11.46017894,17.09717783,8.010524227,16.9453606,16.90946528,22.03863636,17.5007117,18.61011599,17.73555693,26.80832423,19.69311074,12.02529069,13.76525198
Bradi4g16480.v3.1,42.60358762,17.36808596,32.43796011,44.58135443,39.70049422,23.31553647,54.14106312,51.26735505,32.05879033,33.81893056,36.84070556,36.75149456,42.49772755,29.55926156,35.74443231,56.10678719,45.09484009,31.79117719
Bradi4g16492.v3.1,5.649094491,15.08281149,12.8285718,8.601293925,8.038529822,12.64571469,11.39811855,14.81946982,11.22057661,25.98283689,19.73609226,9.625391433,4.721969728,11.16683214,15.72755022,12.44753226,12.52634447,14.91235631
Bradi4g16496.v3.1,0,0,0.366530623,1.938319758,0.656206516,0.197589292,0,0,0,0,0.328934871,1.458392641,0.55552585,0.985308719,0,0,3.006322672,0.491616142
Bradi4g16510.v3.1,56.13787651,77.69933192,67.8081652,56.57470793,58.07427667,54.53464461,45.7507814,73.89708599,50.8360818,39.7991073,45.55747964,32.08463811,40.69226854,36.45642259,49.14859443,70.78372821,80.66965838,78.98632684
Bradi4g16511.v3.1,14.12273623,13.02606447,14.84449022,13.93167326,13.12413032,19.56133992,7.757052902,11.01447081,11.22057661,8.660945631,8.058904341,7.875320263,6.805191667,11.49526838,8.399941594,13.00488445,25.05268894,20.15626183
