Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g25370.v3.1,40.56723621,49.15277009,43.00026143,50.7248278,36.6695565,57.06719765,54.57719667,56.1027059,60.09774469,52.87111292,35.3364858,52.22932417,54.05797085,62.15419219,55.42256628,35.43474045,55.21724956,30.23923653
Bradi1g25380.v3.1,8.692979188,5.383398628,12.17706518,4.872581981,7.06477694,5.337219924,7.5166199,11.1380372,10.01629078,9.305315873,13.12498044,33.05844507,15.3835183,13.39233975,6.344670887,3.42916843,8.127772715,7.304984106
Bradi1g25390.v3.1,126.2896699,110.2426415,132.4255839,94.70300363,111.6907592,128.9143889,134.8089439,105.6050935,118.0491414,142.7520049,124.8555831,115.0252746,139.7456055,94.0897716,97.59596688,100.5889406,87.47031589,87.15015921
Bradi1g25400.v3.1,39.35987799,24.10826342,45.66399444,16.49181594,45.75284113,41.26081557,35.45883736,25.16371368,33.86460217,35.10641898,47.78839032,29.58655358,55.20814044,26.61298284,53.5564866,47.81784867,26.31850213,24.46320259
Bradi1g25420.v3.1,9.900337408,7.021824298,8.7522656,7.246403972,12.11104618,11.90610598,8.987262924,7.012838238,21.70196336,13.95797381,9.086524919,10.11377087,12.50809432,9.615013156,11.19647804,7.239355575,8.385797246,8.154400862
Bradi1g25430.v3.1,1904.607593,1653.171501,1844.444842,2061.976744,1679.903031,1614.509027,1276.35474,1196.720219,905.9973495,932.0119785,806.849759,894.6913421,1550.859924,947.2504926,1215.564299,1492.831323,1393.074441,1453.182187
Bradi1g25440.v3.1,337.3358868,509.784444,423.5335484,628.4381376,488.8152806,465.3645219,544.6281332,577.7341148,515.1235259,740.1955808,595.1673822,610.9019506,461.505549,357.9875434,498.9897045,360.0626852,543.7866983,495.5497357
Bradi1g25447.v3.1,66.28396631,54.77022952,58.98265948,59.59542577,40.03373599,34.8972072,30.39328916,18.15087544,35.05701774,22.41735188,27.59611272,43.77602315,30.9108078,36.227996,27.24476322,72.77457447,74.31106483,58.6097562
Bradi1g25470.v3.1,87.77494263,80.28285781,91.51825551,89.58054565,92.51493612,82.11107576,90.85305792,96.3233958,91.3390326,83.53635841,94.56716675,96.00534732,106.2469161,91.85771497,119.429099,99.25537513,74.44007709,86.81039251
Bradi1g25487.v3.1,0.482943288,0.93624324,1.902666435,1.874069993,1.682089748,0,0.326809561,0.825039793,1.192415569,3.383751227,1.17788286,0.905710824,2.300339185,10.98858646,3.358943411,1.143056143,0.774073592,0.339766703
Bradi1g25530.v3.1,8.81371501,0.46812162,1.902666435,2.248883991,3.027761546,2.258054583,7.189810339,0.825039793,4.769662277,1.26890671,3.02884164,4.830457727,8.338729546,4.464113251,8.583966494,4.572224574,7.095674593,2.378366918
Bradi1g25540.v3.1,2.897659729,7.958067538,2.663733009,5.747147978,4.205224369,4.926664545,10.13109639,5.981538497,9.062358326,1.26890671,2.69230368,1.50951804,8.913814342,7.898046521,7.837534625,1.714584215,2.322220776,2.718133621
Bradi1g25552.v3.1,5.070904526,3.276851339,1.902666435,3.498263986,4.037015394,6.568886061,7.5166199,1.650079585,4.769662277,2.53781342,1.85095878,7.849493806,10.49529753,14.07912641,9.703614298,4.572224574,1.93518398,4.416967134
Bradi1g25564.v3.1,0.120735822,0,0.761066574,0.374813999,0.168208975,0.205277689,0,0.412519896,0,1.480391162,0,0.452855412,0.575084796,0.343393327,0,0.190509357,0.903085857,1.189183459
Bradi1g25588.v3.1,0.724414932,0,0.761066574,0.999503996,2.691343596,0,0.653619122,0.412519896,3.815729822,1.26890671,3.70191756,2.113325255,1.869025588,4.464113251,1.866079673,2.286112287,0.516049061,1.698833513
Bradi1g25600.v3.1,0.362207466,1.872486479,0.761066574,0,0.672835899,0.410555379,1.307238244,2.475119378,1.907864911,2.960782323,5.0480694,1.50951804,1.437711991,0,0,0,4.257404756,0
Bradi1g25647.v3.1,9.658865764,8.660249968,10.0841321,4.997519981,8.242239763,7.800552197,9.477477265,11.96307699,19.79409845,17.55320949,13.12498044,19.0199273,12.79563672,8.584833175,8.21075056,12.19259886,8.514809511,10.02311773
Bradi1g25657.v3.1,9.41739412,4.915277009,6.278799235,7.87109397,11.77462823,4.926664545,7.189810339,5.569018601,16.21685174,8.670862518,6.562490219,6.641879374,12.07678072,9.099923166,7.837534625,8.953939791,7.353699124,5.945917295
