Gene,Bs.10.1,Bs.10.2,Bs.10.3,Bs.14.1,Bs.14.2,Bs.14.3,Bs.18.1,Bs.18.2,Bs.18.3,Bs.22.1,Bs.22.2,Bs.22.3,Bs.2.1,Bs.2.2,Bs.2.3,Bs.6.1,Bs.6.2,Bs.6.3
Bradi3g29410.v3.1,14.02728458,13.79775434,19.80082197,15.39672076,20.44918661,25.0775787,27.13542256,21.37285537,25.2945319,16.71662189,14.7895046,21.4465416,20.80542274,15.42897944,20.98701445,15.65517624,16.48900427,19.02070721
Bradi3g29417.v3.1,10.33090554,11.28907173,8.988531025,10.70072093,10.71668603,16.44873442,14.48510101,14.15482965,12.52447696,8.472808354,10.86575848,12.23637036,12.29933831,19.44829341,16.44143989,12.61902085,17.18432372,11.80451785
Bradi3g29440.v3.1,226.6164692,214.1502699,187.9775401,198.771665,195.9622589,249.9668329,199.0252879,208.4790804,199.0000228,193.0426336,186.3276362,254.3323001,183.1107096,186.1849955,185.2079847,284.639568,252.5002943,230.5009387
Bradi3g29460.v3.1,8.245768641,7.982171933,7.946382501,15.31973716,11.15410179,3.954886964,4.635232324,9.936502934,4.174825654,5.839367919,9.859669735,4.736659495,9.425661133,14.78070299,10.25172135,4.933752513,5.959881061,6.5905082
Bradi3g29470.v3.1,10.42568449,16.07837489,12.5057823,16.55147482,15.96567511,16.89815339,12.84345623,18.37315637,15.14397541,14.77016591,16.29863773,14.73627398,18.16163974,13.87311596,16.6348686,16.41421509,12.31708753,12.6387594
Bradi3g29530.v3.1,30.51882187,23.26232963,27.09586164,30.48550711,27.01042296,37.84107754,47.51113132,42.93319192,43.54916172,45.34097443,33.30153758,47.23502107,35.2887557,34.0993411,33.94673767,43.64473376,38.24257014,28.53106081
Bradi3g29590.v3.1,19.52446368,22.92023655,23.96941607,19.63081897,26.90106902,31.9087471,28.29423064,37.87119986,38.80132078,30.57080852,22.33517022,38.68271921,22.41468196,28.52416366,37.42845435,32.54379061,28.40876639,28.48934874
Bradi3g29600.v3.1,5.023284345,2.166589525,3.647519836,4.619016228,5.358343017,4.404305937,8.401358587,7.218025716,6.057590165,5.610373099,4.929834868,6.052398243,7.126719393,7.001385626,11.41229357,5.882551073,5.165230253,5.464282115
Bradi3g29610.v3.1,5.591958044,9.008451182,8.076651066,7.69836038,6.12382059,8.808611874,12.07091751,6.374360373,8.840807267,6.984342021,5.734705866,8.68387574,7.931349002,9.594491414,10.15500699,6.736469777,6.158543763,6.507084045
Bradi3g29634.v3.1,3.412042196,2.166589525,1.954028484,2.386491718,2.077724843,2.247094866,0.772538721,2.062293062,4.174825654,1.717461153,0.503044374,1.315738748,2.183994653,2.463450498,1.837572694,1.992476976,1.489970265,1.167938162
Bradi3g29700.v3.1,62.08021218,80.39187447,69.95421972,83.68117733,76.98517314,95.09705472,114.8185674,93.64685312,110.1826535,85.52956541,79.68222888,91.97013852,150.3507898,145.8622005,113.639364,80.17347833,73.20720569,65.23768876
Bradi3g29710.v3.1,9.19355814,0.912248221,5.731816886,13.93403229,24.71399024,9.437798437,63.44474243,22.87270487,37.24599358,15.22815555,19.11568622,6.447119868,3.103571349,9.594491414,6.479861606,15.18077696,29.10408585,5.422570038
Bradi3g29722.v3.1,1.516463198,0.45612411,0.390805697,3.23331136,4.592865443,2.876281428,10.04300337,6.843063341,7.367339389,2.976932665,2.917657371,1.842034248,4.367989305,0.907587026,2.611287513,7.495508625,7.648514028,2.127315938
Bradi3g29740.v3.1,12.60560034,10.26279249,15.892765,12.0864258,17.49663026,11.05570674,7.918521886,13.21742371,20.21925366,13.5106944,10.66454073,15.52571723,14.02354461,18.92967225,14.21700979,13.75757912,16.48900427,13.30615263
Bradi3g29750.v3.1,344.237146,307.9978056,342.4760589,293.5384813,305.8629677,325.9186393,299.2621869,333.1540701,275.9477898,363.0712877,357.8657678,399.3267102,310.1272407,299.2444079,312.6775011,401.6264305,401.3979894,357.055381
Bradi3g29770.v3.1,3.412042196,4.903334187,2.475102746,4.849967039,2.952556356,6.20198183,5.504338384,2.905958405,6.139449491,5.724870509,2.917657371,3.420920746,4.597883479,2.463450498,6.286432901,4.933752513,7.251188624,5.005449266
Bradi3g29790.v3.1,11.27869504,10.60488557,11.46363377,16.62845842,17.49663026,17.34757236,15.25763973,15.37345737,18.00905184,9.732279866,11.77123836,22.36755872,15.05806839,11.79863133,12.76629451,12.04974171,19.4689448,14.68265118
Bradi3g29810.v3.1,211.830953,220.0798833,171.5637009,133.9514706,127.3973391,144.9825607,128.337995,128.518354,130.1563292,149.6481151,152.4224454,149.7310696,159.891398,148.0663405,158.4181091,179.7973271,182.2730291,206.2245097
Bradi3g29830.v3.1,7.961431791,6.841861657,7.555576804,5.46583587,10.0605624,9.078263258,9.656734008,8.905356403,9.823119186,9.732279866,9.054798736,6.973415367,9.655555307,5.056556286,7.253576424,6.926229489,6.257875114,9.510353605
Bradi3g29840.v3.1,38.10113786,38.99861144,28.65908443,34.10373648,25.47946781,30.92002535,35.82648317,29.8095088,29.63307621,39.95959615,35.31371507,19.8676551,54.94470758,54.8441874,60.2530415,42.98057477,40.82518527,43.67254484
Bradi3g29854.v3.1,22.93650588,21.20977114,16.67437639,17.70622887,26.68236114,19.23513205,29.93587542,23.15392665,29.06006092,24.27345096,20.22238384,27.89366147,26.66772418,30.59864829,18.76258435,23.62508415,30.29606206,22.73308208
Bradi3g29861.v3.1,26.44332702,27.93760177,26.31425025,22.94111393,25.58882175,33.34688781,26.55601852,35.52768502,32.49815264,31.14329557,27.26500508,26.44634884,34.71402027,35.52554929,32.30259368,33.77722874,19.36961345,22.31596131
Bradi3g29870.v3.1,56.48825414,60.09435155,60.1840773,62.27973548,57.62952591,70.64866258,75.80536196,67.77444926,74.24640918,63.08807301,58.65497404,68.28684105,65.51983958,84.27593809,69.24747626,67.55445748,61.38677492,56.26959216
Bradi3g29880.v3.1,53.07621194,57.69969997,71.5174425,61.89481746,59.8166047,67.95214874,76.19163132,59.99397998,61.14891693,59.30965847,56.24036104,64.99749418,77.81917789,73.77385965,90.91149118,64.7080618,70.92258462,53.51659507
Bradi3g29890.v3.1,21.79915848,21.77992627,23.96941607,25.32760565,27.6665466,26.60560321,31.48095286,41.33960183,38.47388348,28.62435255,29.67961808,40.91947508,30.80581931,29.56140598,32.49602238,46.87064887,33.17667124,33.91191878
Bradi3g29900.v3.1,44.92522225,48.34915571,36.08439267,35.95134298,38.93000232,46.55980562,34.66767509,52.2135107,41.17524125,48.3179071,44.16729606,46.0508562,50.00198284,46.80555946,45.93931735,43.92937333,47.38105443,42.75487915
Bradi3g29910.v3.1,52.60231719,55.64714148,50.02312918,61.58688304,62.87851499,63.18830763,75.12939058,67.68070866,66.38791383,71.56088136,56.64279654,52.62954994,77.12949537,82.07179817,79.49919761,59.29991001,65.36002897,53.72515545
Bradi3g29917.v3.1,120.9379401,112.0925001,93.79336722,124.4824873,119.4145015,127.6349884,123.0267913,150.6411341,142.0259316,127.2066227,108.9594115,165.5199346,157.3625621,142.3615077,135.1099502,147.7279358,134.3953179,115.0001969
Bradi3g29950.v3.1,16.30197938,26.56922943,30.87365004,31.40931035,28.21331629,26.51571942,27.03885522,29.62202761,30.28795082,25.41842506,28.77413821,26.05162722,32.41507853,29.95037184,34.81716684,25.52268127,29.7994053,27.86366758
Bradi3g29960.v3.1,12.70037929,8.438296043,5.471279754,5.927737493,7.764129677,8.359192901,9.560166668,9.561540559,10.23241582,7.327834252,8.350536613,12.36794424,12.75912666,13.09518423,11.70243663,7.685268337,13.60839509,11.09541254
Bradi3g29970.v3.1,18.19755838,22.92023655,29.18015869,19.63081897,18.15275389,19.23513205,21.72765152,26.8098098,19.7280977,26.79239398,16.49985548,16.70988211,26.55277709,28.26485308,24.9523029,21.72748703,16.68766697,18.97899513
Bradi3g29980.v3.1,51.93886454,51.54202448,51.32581484,51.34806374,45.60059261,53.5707416,58.61637543,58.49413048,63.93213403,48.43240451,51.91417942,68.15526717,55.28954884,65.47592113,48.55060487,51.51976181,55.52622521,46.46725402
Bradi3g29990.v3.1,144.6326775,155.8804147,147.8548219,181.2194033,139.7543342,174.9138644,195.355729,225.4461279,240.4208421,176.2115143,162.4833329,175.7826968,211.7325342,243.6222887,187.6258435,176.7611717,136.977933,149.662933
Bradi3g30000.v3.1,29.47625342,33.41109109,34.26063275,36.4132446,55.33309319,49.07655187,46.06262122,50.52618001,50.83464179,37.0971609,37.22528369,52.23482832,50.3468241,41.23038202,55.41732388,39.28026039,26.72013342,24.23471686
Bradi3g30010.v3.1,11.18391609,4.333179049,17.06518209,14.01101589,6.779944225,7.999657723,8.980762627,10.78016828,7.449198716,11.2207462,2.012177497,16.05201273,1.954100479,1.815174051,14.89401026,10.72142373,10.42979186,3.962647335
Bradi3g30017.v3.1,47.294696,31.58659465,40.1227182,39.26163794,63.7533465,37.30177477,47.31799664,38.15242164,33.64418321,46.25695371,50.10321968,25.78847947,27.70224796,24.89381556,34.81716684,42.12665607,47.67904849,42.58803084
Bradi3g30027.v3.1,37.81680101,43.44582152,32.69740996,22.3252451,28.21331629,24.35850835,29.35647138,25.49744149,18.5002078,22.32699499,26.66135184,33.41976421,27.01256544,27.74623193,26.30630383,37.0980237,30.09739936,40.71098736
