"","Gene","Bs.10.1","Bs.10.2","Bs.10.3","Bs.14.1","Bs.14.2","Bs.14.3","Bs.18.1","Bs.18.2","Bs.18.3","Bs.22.1","Bs.22.2","Bs.22.3","Bs.2.1","Bs.2.2","Bs.2.3","Bs.6.1","Bs.6.2","Bs.6.3"
"14445","Bradi5g00980.v3.1",3.696379046,4.333179049,3.908056967,2.694426133,2.843202417,3.595351785,3.090154882,5.436954436,3.683669695,4.121906767,3.621919495,5.262954994,11.60965579,8.16828323,7.253576424,11.0060633,8.542496187,12.43019901
"14546","Bradi5g03510.v3.1",10.23612659,9.806668375,7.295039673,9.545966871,7.764129677,9.168147053,14.09883165,10.21772472,10.88729043,15.11365814,13.17976261,15.13099561,24.82857079,23.98622853,20.40672834,15.7500561,11.91976212,9.927474377
"14577","Bradi5g04080.v3.1",2692.575188,2594.662002,2172.749405,1892.410949,1767.159656,1797.945544,1575.689288,1920.557284,1668.456794,1747.115982,1561.550347,1832.824077,2242.157879,1560.790373,2332.169892,2137.453396,2473.648634,3290.206939
"14703","Bradi5g08637.v3.1",19.42968473,21.8939573,18.49813631,21.32445825,21.32401813,21.7518783,27.52169192,24.56003555,23.57548605,34.92171011,20.82603709,24.99903622,28.96666592,23.98622853,25.72601772,26.47147983,23.04487343,24.40156517
"14735","Bradi5g09160.v3.1",19.42968473,18.81511956,22.14565615,18.39908131,27.6665466,23.36978661,22.69332492,27.65347515,25.45825056,23.92995873,34.50884407,28.94625247,28.04708922,26.70898961,23.30815891,20.77868847,22.64754803,17.35222412
"14762","Bradi5g09530.v3.1",1177.059779,1026.621342,1000.462584,779.2280377,771.6013944,647.5228566,407.9004445,434.6751331,330.0568046,421.1214747,410.0817739,324.855897,178.9726144,144.5656476,181.726268,561.8785073,690.0548955,784.1870516
"14782","Bradi5g10027.v3.1",70.89465452,49.1473729,71.12663681,60.89403061,46.47542412,53.39097401,40.17201347,34.87150086,49.11559593,76.25527518,62.17628466,48.81390757,141.6148112,111.6332041,100.5829264,93.74129774,115.2243672,126.0956094
"14783","Bradi5g10040.v3.1",47.6738118,74.57629206,53.93118615,125.2523234,134.0679294,144.2634904,84.97925927,161.4213024,147.2649285,61.71410409,50.90809067,80.91793303,31.03571349,33.19175408,27.37016171,25.14316184,30.89205016,35.95581056
"14821","Bradi5g10580.v3.1",144.0640038,141.7405673,136.5214567,184.3757311,158.5632117,178.4193324,175.8491263,160.3901559,168.0571974,161.2123535,150.8127034,178.2826004,169.3170591,151.5670333,152.8086767,125.3362898,128.4354369,119.0045563
"14837","Bradi5g10860.v3.1",112.9765083,82.67249502,100.5673326,65.89796485,78.18806647,90.06356222,66.72803199,57.93168692,53.9452962,126.0616486,79.07857563,59.07666981,172.4206305,253.8650566,185.6915565,107.7835164,236.9052722,192.0424035
"14859","Bradi5g11240.v3.1",73.45368617,90.54063593,87.67074464,105.698488,99.29337672,123.5902176,126.3100808,134.049049,133.0214056,138.5418663,145.1786064,137.6262731,99.19933607,73.2552385,86.36591662,78.56052078,69.82993976,68.95006364
"14875","Bradi5g11630.v3.1",24.45296907,26.34116738,17.97706205,17.78321248,30.40039507,22.20129727,20.9551128,16.59208509,15.38955339,13.5106944,9.557843111,12.89423974,8.506084437,11.92828662,8.510863004,11.0060633,8.343833485,11.26226085
"14894","Bradi5g11950.v3.1",36.11077991,27.13938457,22.79699898,28.48393341,26.13559145,25.1674625,25.68691246,19.77926527,23.82106403,31.4867878,38.93563457,30.26199122,45.40409936,39.41520797,42.84445808,33.49258917,45.69242146,59.35628588
"14910","Bradi5g12240.v3.1",245.6670381,270.7096596,213.6404476,238.9571062,284.3202417,269.1120811,247.4055253,248.4125734,254.4187869,215.9421156,196.4891326,229.4648377,158.1671917,158.4387636,153.0988197,184.2566804,214.2577241,216.7776653
"14969","Bradi5g13047.v3.1",42.5557485,32.27078081,22.27592471,26.94426133,34.99326052,33.4367716,20.76197812,18.65437815,20.30111298,25.99091211,13.9846336,22.63070647,15.28796257,18.41105109,20.6968714,31.59499205,44.89777066,50.05449266
"15007","Bradi5g13710.v3.1",82.36290746,79.82171933,55.75494607,69.82412865,86.06155008,85.56937249,61.12712627,50.33869883,73.26409726,65.83601086,55.53609892,42.49836158,34.94391444,34.74761755,35.97773906,47.06040858,44.30178255,63.98632645
"15018","Bradi5g13860.v3.1",137.0503616,143.9071568,152.1536846,196.6161241,190.0571462,191.0030636,286.1290286,214.1972566,236.0004384,235.9791624,244.1777393,217.2284674,221.1581954,269.9423125,207.0654283,188.3365142,176.7104734,137.191022
"15109","Bradi5g15261.v3.1",9.47789499,8.666358099,11.7241709,16.01258959,12.0289333,13.84210437,19.21690068,20.62293062,19.48251972,16.8311193,16.29863773,13.81525686,21.150264,22.68967564,16.8282973,10.81630359,9.337146995,9.844050223
